Carrier Code,Flight Number,Origin Airport,precip_rate,rh,snow_rate,solar_rad,temp,vis,weather.description,wind_dir,wind_gust_spd,wind_spd,precip_rate_des,rh_des,snow_rate_des,solar_rad_des,temp_des,vis_des,weather.description_des,wind_dir_des,wind_gust_spd_des,wind_spd_des,Status,Previous Flight Status,Scheduled Arrival Hour,Scheduled Arrival Minutes,Scheduled departure Hour,Scheduled departure Minutes,Date,Predicted Status
UA,1802.0,ORD,0.0,57,0.0,15,5.6,16,804,260,7.8,3.1,0.0,38,0.0,118,10.6,16,Overcast clouds,280,10.8,4.59,0,Early,16,45,13,55,2023-11-10,0
MQ,3392.0,ORD,0.0,46,0.0,0,6.8,16,Overcast clouds,230,7.4,4.87,0.0,62,0.0,0,1.1,16,Overcast clouds,90,2.4,1.12,1,Early,22,24,19,40,2023-02-12,0
9E,5350.0,JFK,0.0,39,0.0,807,24.8,16,c01d,225,6.53,6.53,0.0,33,0.0,603,23.9,16,Clear Sky,260,8.8,6.2,0,Early,11,15,9,55,2023-04-13,0
9E,4730.0,JFK,0.0,39,0.0,232,5.3,16,c04d,190,6.9,5.15,0.0,43,0.0,181,2.2,16,Overcast clouds,90,10.0,3.6,1,On-time,16,20,15,0,2022-03-30,0
MQ,3402.0,ORD,0.0,54,0.0,0,22.1,16,Few clouds,100,2.47,2.47,0.0,81,0.0,114,20.0,16,c04d,310,8.8,5.09,2,Late,21,32,18,36,2023-07-29,0
B6,2516.0,JFK,0.0,100,0.0,0,3.5,0,a05n,115,3.3,1.8,1.0,55,0.0,0,6.1,16,Light rain,180,8.2,4.09,1,On-time,23,15,21,59,2022-02-02,1
B6,116.0,JFK,0.0,58,0.0,424,18.3,16,c01d,150,4.6,4.59,0.0,39,0.0,493,20.9,16,Clear Sky,260,7.8,3.59,1,On-time,14,41,13,30,2022-11-03,1
MQ,3324.0,ORD,0.0,81,0.0,0,1.9,16,803,345,9.1,4.09,5.0,100,0.0,0,7.2,6,Moderate rain,85,6.2,4.09,2,Early,22,16,19,30,2023-12-27,1
9E,4730.0,JFK,0.0,85,0.0,239,19.1,16,c04d,115,5.6,4.84,0.0,48,0.0,654,27.8,16,c03d,145,5.7,3.85,2,Early,16,25,15,10,2022-05-13,0
9E,5175.0,JFK,0.0,89,0.0,143,20.0,16,804,360,7.9,5.09,0.0,50,0.0,249,21.8,16,Overcast clouds,300,6.6,4.22,0,Early,16,51,15,20,2023-09-18,0
UA,1046.0,ORD,0.0,87,0.0,0,19.2,16,804,20,7.2,4.59,0.0,50,0.0,0,21.7,16,Overcast clouds,70,4.4,1.5,0,Early,23,59,21,5,2022-08-14,0
9E,5350.0,JFK,0.0,53,0.0,792,15.2,16,Broken clouds,235,8.9,8.76,0.0,70,0.0,297,8.9,16,Overcast clouds,230,10.3,8.8,0,Early,11,15,9,55,2023-05-01,0
B6,656.0,MCO,0.0,24,0.0,0,11.7,16,Clear Sky,290,4.0,1.5,0.0,53,0.0,67,-6.7,16,Overcast clouds,265,3.6,2.32,1,On-time,19,0,16,17,2022-01-30,0
9E,5090.0,JFK,1.0,88,0.0,0,23.9,16,r01n,195,6.0,3.76,0.0,90,0.0,0,19.4,16,Overcast clouds,60,4.0,1.6,0,Early,23,37,22,0,2022-09-05,0
9E,4730.0,JFK,0.0,78,0.0,545,15.9,16,Broken clouds,190,5.0,3.93,2.625,83,0.0,138,14.4,16,Light rain,280,12.4,6.7,2,Early,16,25,15,10,2022-05-19,0
B6,656.0,MCO,0.0,73,0.0,0,20.6,16,Overcast clouds,180,2.4,1.5,0.0,63,0.0,72,-10.0,13,Overcast clouds,300,8.2,6.2,0,On-time,19,0,16,17,2022-01-20,0
9E,5090.0,JFK,0.0,61,0.0,0,5.0,16,c02n,330,5.7,5.7,0.0,83,0.0,0,1.9,16,Overcast clouds,275,3.4,1.3,2,On-time,23,45,22,30,2022-11-28,0
B6,2516.0,JFK,0.0,45,0.0,0,15.4,16,Broken clouds,130,6.5,2.76,0.0,52,0.0,0,10.0,16,Scattered clouds,320,4.0,2.1,0,Late,23,19,21,59,2023-05-14,1
MQ,3392.0,ORD,0.0,54,0.0,0,18.2,16,800,170,9.6,4.47,0.0,20,0.0,19,13.9,16,Scattered clouds,155,9.0,4.87,2,Early,19,27,16,40,2022-11-09,0
9E,4856.0,JFK,0.0,73,0.0,194,16.6,16,804,180,9.3,6.95,0.0,32,0.0,189,17.8,16,Overcast clouds,180,10.3,6.7,0,Early,12,18,10,54,2023-11-17,0
9E,4953.0,JFK,0.0,85,0.0,0,17.6,16,c04n,240,10.8,5.42,0.0,89,0.0,13,11.9,16,c04n,275,12.0,8.75,2,Late,21,56,20,30,2022-05-16,0
9E,5009.0,JFK,0.0,46,0.0,0,-3.6,16,Scattered clouds,330,7.6,7.32,0.0,69,0.0,0,-8.7,15,c04n,280,7.4,3.26,2,Early,23,57,22,30,2023-02-24,0
UA,1998.0,ORD,0.0,51,0.0,0,8.9,16,Broken clouds,180,3.6,2.1,0.0,37,0.0,15,8.9,16,c04n,205,6.9,5.09,0,Early,21,18,18,21,2022-10-20,0
B6,116.0,JFK,0.0,52,0.0,133,5.6,16,802,240,7.7,6.7,0.0,38,0.0,273,7.8,16,c02d,200,12.9,8.19,0,Early,15,21,14,0,2023-12-12,0
B6,656.0,MCO,0.0,53,0.0,375,31.7,16,Overcast clouds,200,11.3,7.7,0.0,60,0.0,185,11.5,16,Overcast clouds,75,10.6,6.07,0,Early,13,56,11,11,2022-04-06,1
9E,4856.0,JFK,0.0,45,0.0,178,4.0,16,804,315,6.6,2.85,0.0,51,0.0,119,2.2,16,c04d,230,8.4,4.09,0,Early,12,30,10,59,2023-12-14,0
B6,2516.0,JFK,0.0,100,0.0,0,16.7,5,741,65,11.9,4.76,0.0,80,0.0,0,15.0,16,Overcast clouds,70,5.6,1.5,1,Late,23,15,21,55,2023-09-24,1
B6,2516.0,JFK,0.0,56,0.0,0,18.3,16,801,315,4.1,3.43,0.0,69,0.0,0,13.3,16,Clear Sky,230,4.4,2.1,2,Late,23,15,21,55,2023-09-19,1
MQ,3324.0,ORD,0.0,46,0.0,0,25.4,16,804,170,6.4,4.34,0.0,64,0.0,0,23.9,16,Scattered clouds,330,2.4,1.5,1,On-time,21,54,18,55,2023-10-03,2
B6,116.0,JFK,0.0,66,0.0,88,11.4,16,804,180,4.3,2.85,0.0,52,0.0,162,10.0,16,Overcast clouds,110,8.8,4.09,1,Early,15,21,14,0,2023-11-06,0
MQ,3324.0,ORD,0.0,58,0.0,0,18.9,16,Overcast clouds,250,7.2,2.6,0.0,37,0.0,14,25.4,16,Broken clouds,150,7.5,4.22,1,On-time,21,42,18,45,2023-10-05,0
9E,5325.0,JFK,0.0,57,0.0,370,31.1,16,803,210,6.2,6.2,0.0,45,0.0,540,32.8,16,Broken clouds,270,5.4,4.19,0,On-time,16,51,15,20,2023-09-06,0
B6,656.0,MCO,0.0,62,0.0,0,18.4,16,Scattered clouds,65,3.8,3.35,0.0,46,0.0,49,6.4,16,c04d,175,6.0,1.95,1,Late,18,28,15,45,2022-12-28,1
B6,2516.0,JFK,0.0,83,0.0,0,15.6,16,804,240,4.4,2.6,0.0,83,0.0,0,16.1,16,Overcast clouds,135,8.4,4.0,0,Late,23,15,21,55,2023-10-26,1
9E,5114.0,JFK,0.0,96,0.0,0,12.2,0,a03n,240,5.8,5.7,0.0,93,0.0,25,8.6,8,Overcast clouds,295,6.2,3.6,0,Early,17,40,16,15,2022-12-07,0
MQ,3518.0,ORD,0.0,52,0.0,0,24.3,16,802,185,2.8,2.32,0.0,53,0.0,324,26.6,16,Scattered clouds,40,2.97,2.97,2,Early,20,0,17,11,2022-09-09,0
B6,2516.0,JFK,0.0,63,0.0,0,-0.4,16,Overcast clouds,210,6.8,4.5,0.0,67,0.0,0,-1.3,16,Broken clouds,120,11.5,3.47,0,Late,22,59,21,45,2022-01-04,1
B6,2516.0,JFK,0.0,22,0.0,0,14.4,16,c01n,40,9.2,5.7,0.0,35,0.0,0,17.0,16,c02n,130,5.6,2.35,1,On-time,23,7,21,45,2022-05-10,0
9E,4844.0,JFK,0.0,51,0.0,22,3.5,16,804,325,12.2,8.76,0.0,72,0.0,76,-0.6,11,c04d,300,8.4,3.1,0,Late,16,31,15,0,2023-12-06,0
9E,5350.0,JFK,0.0,95,0.0,168,13.1,8,c04d,315,5.1,3.43,0.0,83,0.0,166,8.3,16,Overcast clouds,170,4.4,1.5,1,On-time,11,15,9,55,2023-04-17,0
B6,398.0,JFK,0.0,54,0.0,25,11.7,16,Overcast clouds,50,4.9,2.6,0.0,44,0.0,87,12.2,16,c04d,335,2.4,1.55,0,Late,17,44,16,30,2022-10-28,0
9E,4988.0,JFK,0.0,96,0.0,0,14.8,16,804,30,10.8,6.82,0.0,78,0.0,0,16.1,16,Overcast clouds,90,4.8,2.1,2,Late,23,59,22,33,2023-09-29,1
B6,56.0,MCO,0.0,42,0.0,209,27.9,16,Overcast clouds,260,11.6,5.92,0.0,42,0.0,155,0.6,16,c04d,50,8.0,4.09,0,On-time,16,51,14,7,2023-02-27,1
UA,1503.0,ORD,0.0,72,0.0,0,19.4,16,804,160,2.8,2.32,0.0,54,0.0,0,20.6,16,c02n,270,5.2,4.09,0,Early,23,59,21,5,2022-07-25,0
9E,5114.0,JFK,0.0,64,0.0,105,17.8,16,Few clouds,175,5.83,5.83,0.0,40,0.0,367,21.7,16,c02d,260,5.6,2.6,0,Early,17,26,16,5,2022-10-11,0
B6,2516.0,JFK,0.0,74,0.0,0,13.1,16,802,230,6.4,5.86,0.0,50,0.0,0,13.3,16,Broken clouds,120,10.4,5.2,2,Late,23,15,21,55,2023-10-24,1
9E,5114.0,JFK,0.0,49,0.0,0,9.4,16,c04n,290,11.3,7.7,0.0,73,0.0,23,3.3,16,Overcast clouds,280,8.8,6.45,2,On-time,17,48,16,30,2022-11-13,0
9E,5090.0,JFK,0.0,86,0.0,0,12.8,14,c03n,280,7.6,4.22,0.0,95,0.0,0,6.7,4,Overcast clouds,265,8.0,4.84,0,Early,23,58,22,30,2022-12-07,1
B6,116.0,JFK,0.0,50,0.0,89,12.8,16,c04d,310,7.7,6.2,0.0,82,0.0,112,6.1,16,Overcast clouds,280,7.4,2.1,1,Late,14,46,13,35,2022-12-08,1
B6,656.0,MCO,0.0,51,0.0,145,25.6,16,Broken clouds,100,12.4,6.7,0.0,50,0.0,286,16.3,16,Overcast clouds,310,7.6,3.97,2,Late,19,2,16,15,2023-05-05,1
B6,656.0,MCO,0.0,62,0.0,0,24.4,16,Scattered clouds,260,2.8,2.6,0.0,58,0.0,78,11.4,16,Overcast clouds,285,7.9,4.72,0,Early,17,55,15,14,2022-11-12,1
MQ,3402.0,ORD,0.0,71,0.0,0,22.1,16,Broken clouds,130,2.47,2.47,6.0,87,0.0,33,23.7,13,r02d,190,9.8,2.35,1,Late,21,58,19,10,2023-08-07,1
B6,116.0,JFK,0.0,75,0.0,163,21.7,16,c04d,160,11.3,6.7,0.0,53,0.0,194,23.9,16,Overcast clouds,185,13.9,10.3,1,Early,14,41,13,30,2022-11-05,1
MQ,3324.0,ORD,0.0,64,0.0,0,26.9,16,Clear Sky,215,7.5,3.1,0.0,64,0.0,0,25.3,16,Broken clouds,300,2.2,1.05,0,Late,23,21,20,25,2023-09-03,1
9E,5224.0,JFK,0.0,89,0.0,0,11.6,16,c04n,160,4.4,0.65,0.0,61,0.0,67,7.5,16,Overcast clouds,75,3.0,2.6,0,Early,17,59,16,30,2023-02-16,0
B6,2516.0,JFK,0.0,47,0.0,0,-4.4,16,c04n,310,3.9,3.59,0.0,66,0.0,0,-11.1,16,Overcast clouds,130,4.8,1.5,2,Late,23,14,21,59,2022-01-30,1
MQ,3324.0,ORD,0.0,70,0.0,0,22.2,16,804,95,5.2,2.7,0.0,58,0.0,0,18.9,16,Overcast clouds,50,5.2,2.6,0,On-time,21,56,19,0,2023-09-22,1
B6,656.0,MCO,0.0,32,0.0,981,22.2,16,Scattered clouds,270,11.3,8.19,0.0,63,0.0,327,8.5,16,Overcast clouds,235,9.8,4.84,1,Early,13,56,11,11,2022-04-08,0
B6,116.0,JFK,0.0,70,0.0,251,19.4,16,804,50,8.9,3.6,0.0,39,0.0,306,20.9,16,Overcast clouds,55,7.6,4.34,0,Early,14,39,13,30,2023-09-28,0
B6,2516.0,JFK,0.0,76,0.0,0,19.3,16,Clear Sky,230,4.0,3.1,0.0,81,0.0,0,18.9,16,Clear Sky,120,4.0,1.5,1,On-time,23,59,22,59,2022-09-09,1
9E,4856.0,JFK,0.0,47,0.0,400,10.3,16,802,250,8.0,5.8,0.0,49,0.0,348,10.0,16,c02d,250,10.8,7.7,0,Early,12,30,10,59,2023-12-15,0
9E,4988.0,JFK,0.0,100,0.0,0,16.7,5,741,60,5.25,5.25,0.0,80,0.0,0,15.0,16,Overcast clouds,115,5.4,0.75,1,Early,23,59,22,33,2023-09-24,1
9E,5090.0,JFK,0.0,57,0.0,0,0.4,16,c02n,290,9.6,8.52,0.0,81,0.0,0,0.0,14,Overcast clouds,245,9.8,6.2,0,On-time,23,58,22,30,2022-12-18,1
B6,398.0,JFK,0.0,52,0.0,77,20.6,16,Broken clouds,190,3.1,3.1,0.0,42,0.0,182,22.5,16,c04d,270,5.2,3.1,0,Early,17,44,16,30,2022-10-06,0
B6,656.0,MCO,1.0,84,0.0,75,23.3,16,Light rain,40,8.4,2.6,0.0,83,0.0,176,12.2,16,c04d,330,9.5,5.7,1,Early,19,2,16,15,2023-05-24,1
B6,2516.0,JFK,0.0,62,0.0,0,13.8,16,Overcast clouds,230,2.6,2.6,0.0,65,0.0,0,8.9,16,c02n,130,6.0,2.1,2,On-time,23,59,22,59,2022-10-16,1
9E,5090.0,JFK,0.0,77,0.0,0,11.7,16,Clear Sky,235,5.2,3.72,0.0,31,0.0,0,13.6,16,c02n,180,10.8,4.59,0,Late,23,53,22,30,2022-10-21,0
B6,398.0,JFK,0.0,42,0.0,38,11.1,16,Broken clouds,250,8.4,6.2,0.0,58,0.0,72,8.9,16,c04d,190,11.6,5.15,0,Early,17,44,16,30,2022-10-19,0
B6,656.0,MCO,1.0,93,0.0,0,13.3,16,Light rain,10,7.7,5.7,0.0,32,0.0,131,-0.7,16,Broken clouds,250,15.2,11.55,1,Late,17,56,15,15,2022-11-20,1
B6,16.0,JFK,0.0,50,0.0,0,6.7,16,Overcast clouds,320,13.9,10.8,0.0,80,0.0,0,2.5,16,c04n,260,6.8,4.09,1,Late,22,47,21,35,2023-03-05,1
9E,5118.0,JFK,0.0,78,0.0,131,22.6,16,804,120,7.6,4.47,0.0,70,0.0,199,22.8,16,Overcast clouds,110,5.0,3.35,0,Late,16,3,14,29,2023-08-28,0
B6,2516.0,JFK,0.0,74,0.0,0,12.8,16,c01n,260,12.9,8.19,0.0,81,0.0,0,10.8,16,Overcast clouds,225,11.7,7.75,1,Late,23,40,22,29,2022-11-27,1
