Age,Overall,Wage,Agility,Stamina,Penalties
31,94,€565K,91,72,75
33,94,€405K,87,88,85
26,92,€290K,96,81,81
27,91,€260K,60,43,40
27,91,€355K,79,90,79
27,91,€340K,95,83,86
32,91,€420K,93,89,82
31,91,€455K,82,90,85
32,91,€380K,78,84,75
25,90,€94K,67,41,11
29,90,€205K,78,78,88
28,90,€355K,70,75,73
32,90,€125K,58,66,50
32,90,€285K,92,78,75
27,89,€225K,82,96,54
24,89,€205K,91,80,86
24,89,€205K,71,89,90
27,89,€145K,90,83,79
26,89,€240K,37,35,25
26,89,€240K,61,38,27
29,89,€315K,66,86,60
31,89,€200K,77,92,85
32,89,€130K,51,43,47
30,89,€300K,86,76,83
33,89,€215K,54,65,50
19,88,€100K,92,83,70
26,88,€255K,91,84,61
26,88,€285K,62,87,66
26,88,€315K,83,70,81
27,88,€165K,94,75,61
26,88,€315K,87,70,76
26,88,€205K,79,92,67
26,88,€340K,92,79,70
29,88,€265K,76,76,76
29,88,€160K,63,66,68
30,88,€285K,86,91,59
28,88,€355K,82,75,76
31,88,€150K,55,41,40
30,88,€245K,75,70,70
33,88,€165K,68,74,60
33,88,€110K,47,41,23
40,88,€77K,55,39,22
24,87,€205K,68,78,61
25,87,€130K,76,72,82
27,87,€115K,50,71,33
25,87,€210K,74,88,81
31,87,€195K,60,39,25
25,87,€230K,60,84,78
28,87,€115K,77,80,78
29,87,€250K,90,91,59
31,87,€135K,94,75,79
31,87,€155K,61,75,66
30,87,€125K,76,84,70
30,87,€260K,72,84,82
31,87,€240K,58,65,69
22,86,€195K,88,79,71
23,86,€180K,90,78,68
24,86,€125K,60,41,17
26,86,€195K,91,84,71
26,86,€165K,61,71,62
23,86,€195K,93,78,69
26,86,€195K,80,90,72
25,86,€210K,63,73,43
25,86,€135K,87,77,64
27,86,€160K,79,92,60
27,86,€175K,93,78,77
28,86,€135K,75,87,60
27,86,€130K,90,75,75
29,86,€100K,86,73,89
28,86,€175K,72,87,66
31,86,€160K,60,71,70
29,86,€150K,60,74,58
28,86,€180K,77,78,79
31,86,€160K,59,69,41
29,86,€190K,79,69,67
33,86,€185K,72,79,61
34,86,€21K,79,55,71
23,85,€82K,48,77,56
23,85,€73K,66,85,56
22,85,€215K,79,76,62
24,85,€92K,90,80,81
25,85,€115K,40,32,23
23,85,€92K,84,85,44
23,85,€77K,76,86,55
27,85,€205K,93,76,73
26,85,€110K,79,87,80
26,85,€88K,74,90,59
27,85,€180K,85,79,84
27,85,€96K,68,76,26
30,85,€170K,64,67,45
29,85,€66K,66,78,83
29,85,€235K,69,92,71
28,85,€125K,55,45,18
29,85,€215K,90,83,77
28,85,€28K,92,85,75
29,85,€115K,56,69,46
31,85,€205K,74,83,81
29,85,€110K,78,89,76
32,85,€115K,57,76,67
31,85,€160K,55,78,69
29,85,€100K,58,76,75
30,85,€105K,76,93,63
35,85,€38K,46,61,60
31,85,€145K,83,94,56
33,85,€96K,61,65,49
30,85,€240K,76,75,82
32,85,€81K,75,89,65
32,85,€170K,57,66,63
35,85,€57K,63,60,57
36,85,€15K,75,61,89
22,84,€105K,60,76,44
23,84,€63K,56,67,38
25,84,€22K,73,92,68
24,84,€135K,45,67,44
23,84,€22K,77,89,81
22,84,€84K,33,65,32
22,84,€165K,85,75,81
22,84,€115K,76,90,74
24,84,€120K,69,92,91
24,84,€90K,69,75,31
26,84,€38K,51,84,60
26,84,€155K,80,79,84
