LotArea,OverallQual,OverallCond,GrLivArea,FullBath,BedroomAbvGr,GarageCars,SaleCondition,SalePrice
8450,7,5,1710,2,3,2,Normal,208500
9600,6,8,1262,2,3,2,Normal,181500
11250,7,5,1786,2,3,2,Normal,223500
9550,7,5,1717,1,3,3,Abnorml,140000
14260,8,5,2198,2,4,3,Normal,250000
14115,5,5,1362,1,1,2,Normal,143000
10084,8,5,1694,2,3,2,Normal,307000
10382,7,6,2090,2,3,2,Normal,200000
6120,7,5,1774,2,2,2,Abnorml,129900
7420,5,6,1077,1,2,1,Normal,118000
11200,5,5,1040,1,3,1,Normal,129500
11924,9,5,2324,3,4,3,Partial,345000
12968,5,6,912,1,2,1,Normal,144000
10652,7,5,1494,2,3,3,Partial,279500
10920,6,5,1253,1,2,1,Normal,157000
6120,7,8,854,1,2,2,Normal,132000
11241,6,7,1004,1,2,2,Normal,149000
10791,4,5,1296,2,2,2,Normal,90000
13695,5,5,1114,1,3,2,Normal,159000
7560,5,6,1339,1,3,1,Abnorml,139000
14215,8,5,2376,3,4,3,Partial,325300
7449,7,7,1108,1,3,1,Normal,139400
9742,8,5,1795,2,3,2,Normal,230000
4224,5,7,1060,1,3,2,Normal,129900
8246,5,8,1060,1,3,1,Normal,154000
14230,8,5,1600,2,3,3,Normal,256300
7200,5,7,900,1,3,2,Normal,134800
11478,8,5,1704,2,3,3,Normal,306000
16321,5,6,1600,1,2,1,Normal,207500
6324,4,6,520,1,1,1,Normal,68500
8500,4,4,1317,1,3,1,Normal,40000
8544,5,6,1228,1,3,1,Normal,149350
11049,8,5,1234,2,3,2,Normal,179900
10552,5,5,1700,1,4,2,Normal,165500
7313,9,5,1561,2,2,2,Normal,277500
13418,8,5,2452,3,4,3,Normal,309000
10859,5,5,1097,1,3,2,Normal,145000
8532,5,6,1297,1,3,2,Normal,153000
7922,5,7,1057,1,3,1,Abnorml,109000
6040,4,5,1152,2,2,0,AdjLand,82000
8658,6,5,1324,2,3,2,Abnorml,160000
16905,5,6,1328,1,2,1,Normal,170000
9180,5,7,884,1,2,2,Normal,144000
9200,5,6,938,1,3,1,Normal,130250
7945,5,6,1150,1,3,1,Normal,141000
7658,9,5,1752,2,2,2,Normal,319900
12822,7,5,2149,1,1,2,Abnorml,239686
11096,8,5,1656,2,3,3,Normal,249700
4456,4,5,1452,2,2,0,Partial,113000
7742,5,7,955,1,3,1,Normal,127000
13869,6,6,1470,2,3,2,Normal,177000
6240,6,6,1176,1,3,2,Normal,114500
8472,5,5,816,1,2,2,Normal,110000
50271,9,5,1842,0,0,3,Normal,385000
7134,5,5,1360,1,3,2,Normal,130000
10175,6,5,1425,2,3,2,Normal,180500
2645,8,5,1739,2,3,2,Abnorml,172500
11645,7,5,1720,2,3,2,Normal,196500
13682,10,5,2945,3,3,3,Partial,438780
7200,5,7,780,1,2,1,Normal,124900
13072,6,5,1158,1,3,2,Partial,158000
7200,5,7,1111,1,3,1,Normal,101000
6442,8,5,1370,2,2,2,Normal,202500
10300,7,6,1710,2,3,2,Normal,140000
9375,7,5,2034,2,3,2,Normal,219500
9591,8,5,2473,2,4,3,Normal,317000
19900,7,5,2207,2,3,2,Normal,180000
10665,7,5,1479,2,3,2,Normal,226000
4608,4,6,747,1,2,1,Normal,80000
15593,7,4,2287,2,3,2,Normal,225000
13651,7,6,2223,2,3,2,Normal,244000
7599,4,6,845,1,2,2,Normal,129500
10141,7,5,1718,2,3,2,Normal,185000
10200,5,7,1086,1,3,2,Normal,144900
5790,3,6,1605,2,3,1,Normal,107400
1596,4,5,988,1,2,1,Normal,91000
8475,4,7,952,1,2,1,Normal,135750
8635,5,5,1285,1,2,1,Normal,127000
10778,4,5,1768,2,4,0,Normal,136500
10440,5,6,1230,1,2,2,Normal,110000
13000,6,6,2142,2,4,1,Normal,193500
4500,6,5,1337,2,2,2,Normal,153500
10206,8,5,1563,2,3,3,Normal,245000
8892,5,5,1065,1,3,2,Normal,126500
8530,7,5,1474,2,3,2,Normal,168500
16059,8,5,2417,2,4,2,Normal,260000
11911,6,5,1560,2,3,2,Normal,174000
3951,6,5,1224,2,2,2,Partial,164500
8470,3,2,1526,1,2,0,Abnorml,85000
8070,4,5,990,1,3,0,Normal,123600
7200,4,5,1040,1,2,2,Normal,109900
8500,5,3,1235,1,2,2,Abnorml,98600
13360,5,7,964,1,2,2,Normal,163500
7200,6,6,2291,2,4,2,Normal,133900
9337,6,5,1786,2,3,2,Normal,204750
9765,6,8,1470,2,3,2,Normal,185000
10264,7,5,1588,2,3,2,Normal,214000
10921,4,5,960,1,3,1,Normal,94750
10625,5,5,835,1,2,1,Abnorml,83000
